run	2	4	6	8	10	12	14	16	18	20
1	8.669	6.092	17.805	15.118	3.785	12.53	1.929	7.247	4.746	1.095
2	17.873	16.611	18.285	18.295	8.475	18.136	9.152	2.261	2.259	3.181
3	2.795	6.12	6.261	8.978	8.083	4.143	9.487	7.249	8.79	1.392
4	3.122	3.102	3.677	6.125	0.845	1.653	1.726	17.239	0.998	8.52
5	2.737	1.138	1.197	0.945	1.674	1.924	8.696	18.3	2.11	3.946
6	5.38	2.767	2.822	6.187	6.473	4.675	2.173	3.145	-0.202	0.281
7	18.277	18.283	5.779	17.288	18.281	8.752	0.849	1.758	1.531	0.925
8	4.604	3.838	3.455	5.396	8.445	1.614	1.24	5.746	1.622	0.898
9	2.559	16.088	17.947	17.055	14.661	17.467	0.61	8.058	9.522	0.545
10	5.959	1.827	9.404	2.587	9.008	9.66	1.068	0.971	1.025	-0.203
11	18.255	18.053	5.29	8.819	18.262	2.191	1.929	7.247	4.746	1.095
12	18.292	18.144	18.249	18.228	1.316	17.205	17.082	7.109	18.284	-0.874
13	8.65	6.647	2.204	4.924	9.362	3.462	0.29	2.574	1.055	0.642
14	11.321	18.236	6.982	7.751	18.29	16.749	14.385	18.28	18.298	18.188
15	2.046	18.274	18.27	18.042	5.302	18.301	2.131	4.671	1.881	5.485
16	18.247	17.51	17.924	18.164	17.791	18.264	2.977	5.318	5.576	1.194
17	5.136	3.117	7.949	2.932	3.493	8.287	1.956	17.636	18.296	0.911
18	1.723	2.51	3.313	1.829	1.746	3.929	16.515	1.548	1.022	8.685
19	7.106	1.934	4.485	3.036	7.401	2.175	5.594	8.004	4.054	2.829
20	3.715	7.392	1.19	1.161	4.186	8.243	5.613	2.347	2.637	9.483
